,title,description,tags,release_date,ISBN_number,publisher,author_name,author_birth_year,pages,related_courses,format,rating,edition
0,Introducton to Python Programming,"A comprehensve guide to learnng Pythn programmnig for begnners and experts alke. Covering data structures, algorthms, and applcatons.","['Python', 'Programming', 'Data Structures', 'Algorithms']",2020-05-15,978-3-16-148410-0,TechBooks Inc.,Lindsey Stirling,1986.0,,,,,
1,The Art of Cybersecurity,Explore the artstc sde of cybersecurity through real-world examples and creatve problem-solvn techniques.,"['Cybersecurity', 'Art', 'Problem-solving']",2018-10-20,978-1-25-846732-2,SecurePress,Lindsey Stirling,1986.0,,,,,
2,Netwokr Security Essentials,An introduction to network security principles and practices.,"['network security', 'cybersecurity', 'encryption']",2009-08-11,9780136108054,Pearson Education,Lindsey Stirling,1986.0,,,,,
3,Introduktion to Informatics,A compreensive guide to the fundamentels of informatics and computer science.,"['informatics', 'computer science', 'education']",2014-06-15,978-0-13-212271-9,,Jennifir Smith,1985.0,,,,,
4,Data Structures and Algorithms: A Practical Approach,This book covers essential data structures and algorithms for IT students.,"['data structures', 'algorithms', 'IT education']",2017-09-20,978-0-13-428261-1,,Jennifir Smith,1985.0,,,,,
5,Cybersecurity Essentials,An introductory book on cybersecurity concepts and practices for beginners in IT education.,"['cybersecurity', 'network security', 'IT fundamentals']",2019-04-10,978-1-119-52589-6,,Jennifir Smith,1985.0,,,,,
6,The Art of Coding: A Comprehensive Guide,"This book covers a wide range of programming languages and concepts, including Python, Java, and web development.","['coding', 'programming', 'Python', 'Java', 'web development']",2022-08-15,978-1-2345-6789-0,TechPub Inc.,Jennifir Smith,1985.0,,,,,
7,The Fundamentels of Network Security,A comprehensive guide to network security principles and best practices.,"['network', 'security', 'cybersecurity']",2020-06-15,978-1-2345-6789-0,TechPress,Jennifir Smith,1985.0,320.0,,,,
8,The Art of Computer Sicence,A comprehensive guide to computer sicence principles and practices.,"['computer', 'sicence', 'education']",2015-08-20,978-0-13-407642-3,,Xavier Smith,1978.0,,,,,
9,Netwroking Fundementals,Exploring the fundementals of netwroking in an educational context.,"['netwroking', 'fundementals', 'IT']",2012-05-10,978-1-58713-366-6,,Xavier Smith,1978.0,,,,,
